x,y,z,vx,vy,vz,r,g,b,width,longitude,latitude
119329.1254,483187.0157,2.0000,3.0098,2.6346,0.0086,0,170,255,2.0000,4.863841962549157,52.335451813142534
119329.1254,483190.0157,2.0000,3.0600,2.5761,-0.0009,0,255,255,2.0000,4.863841644767889,52.33547877511713
119329.1254,483196.0157,2.0000,1.6047,3.6512,0.3057,0,255,188,2.0000,4.863841009204015,52.335532699065844
119329.1254,483199.0157,2.0000,3.0573,2.5793,0.0039,0,255,106,2.0000,4.863840691421413,52.335559661040016
119329.1254,483202.0157,2.0000,2.9816,2.6664,-0.0098,0,255,255,2.0000,4.863840373638368,52.33558662301402
119329.1254,483205.0157,2.0000,2.9309,2.7221,-0.0150,0,255,188,2.0000,4.863840055854878,52.33561358498789
119329.1254,483208.0157,2.0000,2.8013,2.8551,-0.0310,0,255,188,2.0000,4.8638397380709435,52.33564054696161
119329.1254,483211.0157,2.0000,2.8130,2.8436,-0.0243,0,170,255,2.0000,4.863839420286563,52.33566750893515
119329.1254,483214.0157,2.0000,2.8385,2.8183,-0.0157,0,0,255,2.0000,4.863839102501742,52.335694470908614
119329.1254,483217.0157,2.0000,2.8848,2.7709,-0.0057,0,0,255,2.0000,4.863838784716475,52.33572143288191
119329.1254,483220.0157,2.0000,2.0733,3.3842,0.4985,0,0,255,2.0000,4.863838466930765,52.335748394855045
119329.1254,483223.0157,2.0000,2.0441,3.4175,0.3769,0,255,255,2.0000,4.86383814914461,52.33577535682803
119329.1254,483229.0157,2.0000,2.0157,3.4354,0.3674,0,170,255,2.0000,4.863837513570967,52.335829280773574
119329.1254,483232.0157,2.0000,1.9879,3.4536,0.3478,0,255,255,2.0000,4.86383719578348,52.33585624274614
119329.1254,483238.0157,2.0000,1.8320,3.5401,0.3337,0,255,255,2.0000,4.863836560207175,52.335910166690795
119329.1254,483241.0157,2.0000,1.7116,3.6057,0.2641,0,255,188,2.0000,4.863836242418354,52.33593712866294
119329.1254,483244.0157,2.0000,1.5646,3.6736,0.2385,0,255,255,2.0000,4.863835924629091,52.335964090634924
119329.1254,483247.0157,2.0000,1.6170,3.6527,0.2082,0,255,255,2.0000,4.863835606839385,52.33599105260676
119329.1254,483250.0157,2.0000,1.5956,3.6629,0.1934,0,170,255,2.0000,4.8638352890492325,52.33601801457845
119329.1254,483253.0157,2.0000,1.6450,3.6422,0.1688,0,0,255,2.0000,4.863834971258637,52.33604497654999
119329.1254,483259.0157,2.0000,1.6447,3.6438,0.1333,0,0,255,2.0000,4.863834335676115,52.33609890049265
119329.1254,483262.0157,2.0000,1.7393,3.6002,0.1158,0,0,255,2.0000,4.863834017884187,52.336125862463774
119329.1254,483265.0157,2.0000,1.8451,3.5482,0.0751,0,0,255,2.0000,4.863833700091815,52.33615282443472
119329.1254,483268.0157,2.0000,1.9651,3.4840,0.0122,0,0,255,2.0000,4.863833382298998,52.33617978640556
119329.1254,483274.0157,2.0000,2.0802,3.4165,-0.0055,0,0,255,2.0000,4.863832746712034,52.336233710346775
119329.1254,483280.0157,2.0000,2.2808,3.2860,0.0177,0,255,188,2.0000,4.863832111123294,52.33628763428741
119329.1254,483283.0157,2.0000,2.5131,3.1117,0.0435,0,0,255,2.0000,4.863831793328257,52.33631459625751
119329.1254,483286.0157,2.0000,2.6161,3.0251,0.0670,0,0,255,2.0000,4.863831475532778,52.33634155822747
119329.1254,483289.0157,2.0000,2.7577,2.8959,0.0940,0,0,255,2.0000,4.863831157736851,52.33636852019726
119329.1254,483292.0157,2.0000,2.8418,2.8133,0.0973,0,0,255,2.0000,4.8638308399404835,52.33639548216694
119329.1254,483295.0157,2.0000,2.9243,2.7271,0.1076,0,0,255,2.0000,4.86383052214367,52.33642244413645
119329.1254,483298.0157,2.0000,2.9895,2.6553,0.1108,0,170,255,2.0000,4.863830204346413,52.33644940610581
119329.1254,483301.0157,2.0000,3.0350,2.6037,0.0978,0,0,255,2.0000,4.863829886548713,52.336476368075054
119329.1254,483304.0157,2.0000,3.1288,2.4902,0.0982,0,0,255,2.0000,4.863829568750566,52.33650333004411
119329.1254,483307.0157,2.0000,3.1767,2.4282,0.1119,0,255,106,2.0000,4.863829250951976,52.336530292013094
119329.1254,483310.0157,2.0000,3.1975,2.4019,0.0806,0,0,255,2.0000,4.863828933152943,52.33655725398186
119329.1254,483313.0157,2.0000,3.1999,2.3982,0.0962,0,255,188,2.0000,4.863828615353466,52.33658421595053
119329.1254,483316.0157,2.0000,3.2193,2.3730,0.0726,0,0,255,2.0000,4.863828297553543,52.336611177919046
119329.1254,483319.0157,2.0000,3.2221,2.3692,0.0696,0,0,255,2.0000,4.863827979753179,52.33663813988739
119329.1254,483322.0157,2.0000,3.2221,2.3694,0.0631,0,170,255,2.0000,4.863827661952368,52.336665101855594
119329.1254,483325.0157,2.0000,3.2235,2.3677,0.0552,0,0,255,2.0000,4.863827344151116,52.33669206382369
119329.1254,483331.0157,2.0000,3.2092,2.3871,0.0518,0,255,255,2.0000,4.863826708547274,52.33674598775938
119329.1254,483334.0157,2.0000,3.2048,2.3932,0.0437,0,255,255,2.0000,4.863826390744689,52.33677294972704
119329.1254,483337.0157,2.0000,3.1954,2.4059,0.0299,0,0,255,2.0000,4.8638260729416585,52.3367999116945
119329.1254,483340.0157,2.0000,3.1784,2.4284,0.0250,0,170,255,2.0000,4.863825755138184,52.33682687366186
119329.1254,483343.0157,2.0000,3.1426,2.4746,0.0084,0,0,255,2.0000,4.863825437334267,52.33685383562909
119329.1254,483349.0157,2.0000,3.0895,2.5407,0.0158,0,255,106,2.0000,4.8638248017250945,52.33690775956305
119329.1254,483352.0157,2.0000,3.0975,2.5309,-0.0010,0,0,255,2.0000,4.863824483919846,52.3369347215298
119329.1254,483355.0157,2.0000,3.0207,2.6221,-0.0077,0,0,255,2.0000,4.86382416611415,52.3369616834964
119329.1254,483358.0157,2.0000,2.9593,2.6912,-0.0139,0,0,255,2.0000,4.86382384830801,52.33698864546289
119329.1254,483364.0157,2.0000,2.9076,2.7469,-0.0191,0,170,255,2.0000,4.8638232126944,52.337042569395415
119329.1254,483367.0157,2.0000,2.8974,2.7576,-0.0217,0,0,255,2.0000,4.863822894886928,52.337069531361465
119329.1254,483370.0157,2.0000,2.8735,2.7826,-0.0236,0,0,255,2.0000,4.863822577079013,52.33709649332733
119329.1254,483373.0157,2.0000,2.8441,2.8125,-0.0258,0,170,255,2.0000,4.863822259270653,52.33712345529311
119329.1254,483376.0157,2.0000,2.8445,2.8121,-0.0266,0,0,255,2.0000,4.863821941461847,52.33715041725868
119329.1254,483379.0157,2.0000,2.7911,2.8651,-0.0316,0,255,106,2.0000,4.863821623652601,52.33717737922419
119329.1254,483382.0157,2.0000,2.8200,2.8367,-0.0277,0,0,255,2.0000,4.863821305842908,52.337204341189526
119329.1254,483385.0157,2.0000,2.8069,2.8496,-0.0270,0,0,255,2.0000,4.863820988032774,52.33723130315466
119329.1254,483388.0157,2.0000,2.8039,2.8526,-0.0271,0,170,255,2.0000,4.863820670222192,52.337258265119694
119329.1254,483391.0157,2.0000,2.8050,2.8515,-0.0247,0,0,255,2.0000,4.8638203524111665,52.33728522708457
119329.1254,483400.0157,2.0000,2.8180,2.8387,-0.0210,0,0,255,2.0000,4.863819398975428,52.33736611297835
119329.1254,483406.0157,2.0000,2.8305,2.8263,-0.0174,0,0,255,2.0000,4.863818763349383,52.33742003690683
119329.1254,483409.0157,2.0000,2.8459,2.8108,-0.0153,0,170,255,2.0000,4.863818445535694,52.337446998870846
119329.1254,483412.0157,2.0000,2.8611,2.7953,-0.0110,0,0,255,2.0000,4.863818127721561,52.337473960834714
119329.1254,483415.0157,2.0000,2.8612,2.7952,-0.0156,0,255,106,2.0000,4.863817809906981,52.337500922798405
119329.1254,483418.0157,2.0000,2.8904,2.7651,-0.0063,0,255,255,2.0000,4.863817492091959,52.337527884762004
119329.1254,483421.0157,2.0000,2.9098,2.7447,-0.0007,0,0,255,2.0000,4.863817174276494,52.337554846725425
119329.1254,483424.0157,2.0000,2.9189,2.7350,0.0021,0,0,255,2.0000,4.863816856460583,52.33758180868873
119329.1254,483427.0157,2.0000,2.9327,2.7201,0.0036,0,170,255,2.0000,4.86381653864423,52.3376087706519
119329.1254,483430.0157,2.0000,2.9526,2.6985,0.0070,0,0,255,2.0000,4.863816220827434,52.33763573261489
119329.1254,483436.0157,2.0000,2.9628,2.6873,0.0081,0,0,255,2.0000,4.863815585192503,52.337689656540455
119329.1254,483439.0157,2.0000,2.9724,2.6767,0.0086,0,0,255,2.0000,4.86381526737437,52.33771661850299
119329.1254,483442.0157,2.0000,2.9816,2.6665,0.0086,0,0,255,2.0000,4.863814949555797,52.337743580465435
119329.1254,483445.0157,2.0000,2.9923,2.6544,0.0089,0,170,255,2.0000,4.863814631736779,52.3377705424277
119329.1254,483451.0157,2.0000,2.9987,2.6472,0.0085,0,0,255,2.0000,4.863813996097408,52.337824466351826
119329.1254,483454.0157,2.0000,3.0077,2.6369,0.0097,0,255,106,2.0000,4.863813678277058,52.337851428313634
119329.1254,483457.0157,2.0000,3.0143,2.6295,0.0083,0,0,255,2.0000,4.863813360456261,52.33787839027533
119329.1254,483460.0157,2.0000,3.0189,2.6242,0.0088,0,255,255,2.0000,4.863813042635021,52.3379053522369
119329.1254,483463.0157,2.0000,3.0276,2.6141,0.0071,0,0,255,2.0000,4.863812724813338,52.337932314198326
119329.1254,483466.0157,2.0000,3.0373,2.6028,0.0066,0,255,255,2.0000,4.863812406991208,52.337959276159566
119329.1254,483469.0157,2.0000,3.0414,2.5981,0.0044,0,0,255,2.0000,4.863812089168639,52.337986238120685
119329.1254,483472.0157,2.0000,3.0442,2.5947,0.0043,0,0,255,2.0000,4.86381177134562,52.33801320008166
119329.1254,483475.0157,2.0000,3.0482,2.5901,0.0018,0,0,255,2.0000,4.8638114535221595,52.338040162042475
119329.1254,483478.0157,2.0000,3.0517,2.5859,0.0002,0,0,255,2.0000,4.863811135698254,52.338067124003125
119329.1254,483481.0157,2.0000,3.0549,2.5822,-0.0012,0,0,255,2.0000,4.8638108178739055,52.338094085963675
119329.1254,483484.0157,2.0000,3.0601,2.5760,-0.0015,0,170,255,2.0000,4.863810500049113,52.338121047924076
119329.1254,483487.0157,2.0000,3.0608,2.5752,-0.0031,0,0,255,2.0000,4.863810182223876,52.33814800988432
119329.1254,483490.0157,2.0000,3.0661,2.5688,-0.0027,0,255,188,2.0000,4.863809864398195,52.3381749718444
119329.1254,483499.0157,2.0000,3.0666,2.5682,-0.0056,0,0,255,2.0000,4.863808910918484,52.338255857723844
119329.1254,483505.0157,2.0000,3.0690,2.5653,-0.0056,0,255,255,2.0000,4.863808275263125,52.33830978164273
119329.1254,483508.0157,2.0000,3.0800,2.5502,0.1017,0,0,255,2.0000,4.86380795743478,52.33833674360196
119329.1254,483514.0157,2.0000,3.1490,2.4648,0.0914,0,0,255,2.0000,4.863807321776755,52.33839066751999
119329.1254,483517.0157,2.0000,3.1544,2.4595,0.0173,0,255,255,2.0000,4.863807003947077,52.338417629478755
119329.1254,483520.0157,2.0000,3.0400,2.5997,-0.0056,0,0,255,2.0000,4.863806686116953,52.338444591437394
119329.1254,483523.0157,2.0000,2.8055,2.8511,-0.0279,0,0,255,2.0000,4.863806368286387,52.33847155339594
119329.1254,483526.0157,2.0000,2.9426,2.7095,0.0063,0,0,255,2.0000,4.863806050455374,52.338498515354296
119329.1254,483529.0157,2.0000,3.0307,2.6105,0.0062,0,0,255,2.0000,4.863805732623919,52.33852547731248
119329.1254,483532.0157,2.0000,1.9553,3.4702,0.3663,0,255,255,2.0000,4.863805414792018,52.3385524392706
119329.1254,483124.0157,2.0000,2.9545,2.6553,0.4697,0,255,106,2.0000,4.863848635853249,52.3348856116428
119329.1254,483145.0157,2.0000,1.8947,3.5032,0.3715,0,255,106,2.0000,4.86384641144031,52.33507434548314
119329.1254,483151.0157,2.0000,2.6870,2.9628,0.0419,0,0,255,2.0000,4.86384577588976,52.335128269436204
119329.1254,483193.0157,2.0000,2.9642,2.6836,0.1093,0,0,255,2.0000,4.863841326986173,52.33550573709158
119329.1254,483226.0157,2.0000,3.1946,2.4069,0.0408,0,255,188,2.0000,4.86383783135801,52.33580231880087
119329.1254,483235.0157,2.0000,3.0610,2.5749,0.0111,0,255,106,2.0000,4.86383687799555,52.335883204718556
119329.1254,483256.0157,2.0000,2.7861,2.8700,-0.0260,0,255,255,2.0000,4.863834653467598,52.33607193852144
119329.1254,483271.0157,2.0000,2.9207,2.7331,0.0039,0,0,255,2.0000,4.863833064505738,52.336206748376256
119329.1254,483277.0157,2.0000,3.0239,2.6184,0.0072,0,0,255,2.0000,4.863832428917885,52.33626067231714
119329.1254,483361.0157,2.0000,3.1648,2.4460,-0.0276,0,0,255,2.0000,4.863823530501427,52.33701560742923
119329.1254,483493.0157,2.0000,3.1742,2.4338,-0.0277,0,255,188,2.0000,4.86380954657207,52.33820193380436
119329.1254,483502.0157,2.0000,3.1878,2.4160,-0.0279,0,255,255,2.0000,4.8638085930910275,52.338282819683364
119329.1254,483397.0157,2.0000,3.1814,2.4244,-0.0270,0,0,255,2.0000,4.863819716787787,52.33733915101394
119329.1254,483496.0157,2.0000,3.1964,2.4046,-0.0277,0,170,255,2.0000,4.8638092287455,52.338228895764175
119332.1254,483328.0157,2.0000,3.2089,2.3880,-0.0283,0,255,255,2.0000,4.863871041774354,52.336719220455294
119332.1254,483073.0157,2.0000,3.2079,2.3893,-0.0287,0,0,255,2.0000,4.863898051061166,52.33442745265177
119332.1254,483097.0157,2.0000,3.2534,2.3268,-0.0298,0,255,106,2.0000,4.863895509147401,52.3346431484896
119332.1254,483223.0157,2.0000,3.2228,2.3691,-0.0309,0,0,255,2.0000,4.863882163633925,52.335775551486364
119332.1254,483226.0157,2.0000,3.2513,2.3298,-0.0308,0,255,106,2.0000,4.863881845874057,52.33580251345936
119332.1254,483253.0157,2.0000,3.2421,2.3426,-0.0228,0,170,255,2.0000,4.86387898601527,52.33604517120987
119332.1254,483295.0157,2.0000,3.2457,2.3378,-0.0139,0,255,255,2.0000,4.86387453727455,52.33642263879845
119332.1254,483337.0157,2.0000,3.2589,2.3193,0.0146,0,255,188,2.0000,4.863870088446793,52.33680010635866
119332.1254,483403.0157,2.0000,3.2624,2.3132,0.0790,0,255,106,2.0000,4.863863097255892,52.33739326961017
119332.1254,483406.0157,2.0000,3.2763,2.2917,0.1188,0,255,188,2.0000,4.86386277946938,52.3374202315745
119332.1254,483418.0157,2.0000,3.2550,2.3195,0.1569,0,255,255,2.0000,4.863861508318893,52.337528079430264
119332.1254,483445.0157,2.0000,3.2582,2.3095,0.2246,0,255,188,2.0000,4.8638586482043165,52.33777073709732
119332.1254,483460.0157,2.0000,3.2302,2.3380,0.3156,0,255,106,2.0000,4.8638570592362305,52.337905546907315
119332.1254,483484.0157,2.0000,3.1475,2.4342,0.4101,0,0,255,2.0000,4.863854516864199,52.33812124259568
119332.1254,483511.0157,2.0000,3.0966,2.4910,0.4537,0,255,106,2.0000,4.863851656661689,52.33836390023404
119332.1254,483523.0157,2.0000,3.0267,2.5845,0.3989,0,255,106,2.0000,4.863850385449024,52.33847174806952
119332.1254,483529.0157,2.0000,2.8413,2.7616,0.5481,0,255,106,2.0000,4.863849749840028,52.33852567198641
119332.1254,483532.0157,2.0000,2.6810,2.9225,0.5211,0,255,106,2.0000,4.863849432034862,52.33855263394465
119332.1254,483064.0157,2.0000,2.5095,3.0758,0.4921,0,255,106,2.0000,4.863899004271501,52.33434656671016
119332.1254,483067.0157,2.0000,2.3574,3.2020,0.4360,0,255,106,2.0000,4.863898686535165,52.33437352869083
119332.1254,483070.0157,2.0000,2.1761,3.3388,0.3422,0,255,106,2.0000,4.863898368798388,52.334400490671364
119332.1254,483076.0157,2.0000,1.7478,3.5872,0.2774,0,255,106,2.0000,4.8638977333234985,52.334454414632
119332.1254,483079.0157,2.0000,1.3221,3.7717,0.1631,0,255,106,2.0000,4.863897415585389,52.33448137661208
119332.1254,483082.0157,2.0000,1.2040,3.8141,0.0566,0,255,106,2.0000,4.863897097846833,52.334508338592016
119332.1254,483085.0157,2.0000,1.2469,3.8005,-0.0379,0,255,106,2.0000,4.863896780107835,52.33453530057182
119332.1254,483088.0157,2.0000,1.4027,3.7449,0.0895,0,255,188,2.0000,4.863896462368393,52.33456226255148
119332.1254,483091.0157,2.0000,1.5375,3.6927,0.0142,0,255,255,2.0000,4.863896144628506,52.33458922453101
119332.1254,483094.0157,2.0000,1.7464,3.5972,0.1024,0,0,255,2.0000,4.863895826888173,52.334616186510374
119332.1254,483100.0157,2.0000,2.0250,3.4460,0.1560,0,170,255,2.0000,4.863895191406182,52.334670110468664
119332.1254,483103.0157,2.0000,2.1391,3.3702,0.2575,0,0,255,2.0000,4.86389487366452,52.33469707244761
119332.1254,483106.0157,2.0000,2.1478,3.3638,0.2685,0,0,255,2.0000,4.863894555922414,52.33472403442641
119332.1254,483109.0157,2.0000,2.3056,3.2507,0.3426,0,0,255,2.0000,4.8638942381798635,52.33475099640506
119332.1254,483112.0157,2.0000,2.3412,3.2180,0.4044,0,170,255,2.0000,4.863893920436868,52.33477795838355
119332.1254,483115.0157,2.0000,2.2758,3.2640,0.4082,0,255,188,2.0000,4.863893602693431,52.334804920361904
119332.1254,483118.0157,2.0000,2.1686,3.3358,0.4119,0,255,188,2.0000,4.8638932849495475,52.334831882340104
119332.1254,483121.0157,2.0000,2.0732,3.3829,0.5074,0,255,188,2.0000,4.863892967205221,52.334858844318184
119332.1254,483127.0157,2.0000,2.0401,3.4133,0.4333,0,255,106,2.0000,4.8638923317152365,52.334912768273874
119332.1254,483130.0157,2.0000,1.9978,3.4314,0.4840,0,255,106,2.0000,4.863892013969577,52.33493973025151
119332.1254,483133.0157,2.0000,1.9153,3.4881,0.4056,0,255,106,2.0000,4.863891696223475,52.33496669222902
119332.1254,483136.0157,2.0000,1.8878,3.5065,0.3753,0,255,106,2.0000,4.863891378476927,52.33499365420631
119332.1254,483139.0157,2.0000,1.8764,3.5108,0.3920,0,255,188,2.0000,4.863891060729937,52.335020616183556
119332.1254,483142.0157,2.0000,1.7588,3.5824,0.2702,0,255,106,2.0000,4.863890742982503,52.335047578160584
119332.1254,483148.0157,2.0000,1.5321,3.6930,0.1209,0,255,106,2.0000,4.863890107486302,52.33510150211428
119332.1254,483151.0157,2.0000,1.5456,3.6746,0.3291,0,255,188,2.0000,4.8638897897375335,52.335128464090864
119332.1254,483154.0157,2.0000,1.4275,3.7330,0.1652,0,255,106,2.0000,4.863889471988324,52.33515542606736
119332.1254,483157.0157,2.0000,1.4537,3.7240,0.1366,0,255,106,2.0000,4.863889154238668,52.335182388043705
119332.1254,483163.0157,2.0000,1.4697,3.7185,0.1133,0,255,188,2.0000,4.863888518738027,52.33523631199593
119332.1254,483166.0157,2.0000,1.5276,3.6964,0.0516,0,255,188,2.0000,4.86388820098704,52.33526327397181
119332.1254,483169.0157,2.0000,1.6076,3.6619,0.0797,0,255,255,2.0000,4.863887883235608,52.33529023594758
119332.1254,483172.0157,2.0000,1.7266,3.6076,-0.0660,0,170,255,2.0000,4.863887565483735,52.335317197923175
119332.1254,483175.0157,2.0000,1.8385,3.5518,0.0702,0,0,255,2.0000,4.863887247731418,52.335344159898625
119332.1254,483178.0157,2.0000,1.9589,3.4875,0.0059,0,0,255,2.0000,4.863886929978652,52.335371121873955
119332.1254,483181.0157,2.0000,2.1990,3.3401,-0.0898,0,0,255,2.0000,4.863886612225445,52.33539808384915
119332.1254,483190.0157,2.0000,2.4523,3.1600,-0.0231,0,0,255,2.0000,4.86388565896316,52.33547896977378
119332.1254,483193.0157,2.0000,2.7956,2.8601,0.0656,0,0,255,2.0000,4.863885341208178,52.335505931748365
119332.1254,483196.0157,2.0000,2.8684,2.7863,0.0942,0,0,255,2.0000,4.8638850234527515,52.33553289372284
119332.1254,483199.0157,2.0000,3.0114,2.6307,0.1054,0,0,255,2.0000,4.863884705696879,52.33555985569714
119332.1254,483202.0157,2.0000,3.0668,2.5653,0.1179,0,255,255,2.0000,4.863884387940563,52.335586817671285
119332.1254,483205.0157,2.0000,3.1193,2.5019,0.1009,0,0,255,2.0000,4.863884070183805,52.33561377964531
119332.1254,483208.0157,2.0000,3.1392,2.4766,0.1087,0,170,255,2.0000,4.863883752426603,52.33564074161919
119332.1254,483211.0157,2.0000,3.1813,2.4223,0.1088,0,255,255,2.0000,4.863883434668955,52.335667703592904
119332.1254,483214.0157,2.0000,3.1982,2.4007,0.0910,0,0,255,2.0000,4.863883116910864,52.335694665566464
119332.1254,483217.0157,2.0000,3.2089,2.3856,0.1094,0,255,106,2.0000,4.863882799152329,52.33572162753991
119332.1254,483220.0157,2.0000,3.2300,2.3579,0.0848,0,0,255,2.0000,4.863882481393349,52.33574858951325
119332.1254,483229.0157,2.0000,3.2313,2.3562,0.0842,0,170,255,2.0000,4.863881528113746,52.33582947543223
119332.1254,483232.0157,2.0000,3.2395,2.3453,0.0695,0,0,255,2.0000,4.863881210352991,52.33585643740492
119332.1254,483235.0157,2.0000,3.2401,2.3447,0.0637,0,0,255,2.0000,4.863880892591792,52.335883399377494
119332.1254,483238.0157,2.0000,3.2328,2.3550,0.0568,0,0,255,2.0000,4.863880574830149,52.33591036134992
119332.1254,483241.0157,2.0000,3.2230,2.3684,0.0572,0,255,188,2.0000,4.86388025706806,52.3359373233222
119332.1254,483244.0157,2.0000,3.2131,2.3821,0.0409,0,0,255,2.0000,4.863879939305528,52.33596428529435
119332.1254,483247.0157,2.0000,3.1792,2.4274,0.0233,0,170,255,2.0000,4.863879621542552,52.33599124726632
119332.1254,483250.0157,2.0000,3.1610,2.4510,0.0206,0,255,255,2.0000,4.863879303779132,52.33601820923818
119332.1254,483256.0157,2.0000,3.1187,2.5047,0.0024,0,0,255,2.0000,4.863878668250961,52.336072133181446
119332.1254,483259.0157,2.0000,3.0637,2.5717,-0.0042,0,0,255,2.0000,4.86387835048621,52.336099095152825
119332.1254,483262.0157,2.0000,3.0323,2.6087,-0.0043,0,170,255,2.0000,4.863878032721014,52.33612605712409
119332.1254,483265.0157,2.0000,3.0043,2.6409,-0.0101,0,0,255,2.0000,4.863877714955375,52.336153019095214
